Start;Ende;Datum_Start;Datum_Ende;Zeit_Start;Zeit_Ende;Dauer_h;Strombezug_kWh;Durchschnittliche_Ladeleistung_kW
13.01.2022 08:30;13.01.2022 17:45;13.01.2022;13.01.2022;8:30;17:45;9.25; 9.01 ; 0.97 
13.01.2022 10:00;13.01.2022 12:15;13.01.2022;13.01.2022;10:00;12:15;2.25; 2.99 ; 1.33 
13.01.2022 10:30;13.01.2022 18:30;13.01.2022;13.01.2022;10:30;18:30;8; 33.39 ; 4.17 
14.01.2022 08:00;14.01.2022 16:30;14.01.2022;14.01.2022;8:00;16:30;8.5; 8.74 ; 1.03 
14.01.2022 09:45;14.01.2022 11:45;14.01.2022;14.01.2022;9:45;11:45;2; 9.93 ; 4.96 
14.01.2022 10:45;14.01.2022 18:15;14.01.2022;14.01.2022;10:45;18:15;7.5; 57.09 ; 7.61 
16.01.2022 12:00;16.01.2022 15:45;16.01.2022;16.01.2022;12:00;15:45;3.75; 36.35 ; 9.69 
17.01.2022 08:00;17.01.2022 19:30;17.01.2022;17.01.2022;8:00;19:30;11.5; 6.62 ; 0.58 
17.01.2022 09:15;17.01.2022 18:30;17.01.2022;17.01.2022;9:15;18:30;9.25; 11.62 ; 1.26 
17.01.2022 09:45;17.01.2022 18:15;17.01.2022;17.01.2022;9:45;18:15;8.5; 55.48 ; 6.53 
18.01.2022 14:15;18.01.2022 16:45;18.01.2022;18.01.2022;14:15;16:45;2.5; 24.45 ; 9.78 
18.01.2022 14:45;18.01.2022 18:45;18.01.2022;18.01.2022;14:45;18:45;4; 8.42 ; 2.10 
19.01.2022 08:15;19.01.2022 14:00;19.01.2022;19.01.2022;8:15;14:00;5.75; 11.00 ; 1.91 
19.01.2022 08:45;19.01.2022 13:15;19.01.2022;19.01.2022;8:45;13:15;4.5; 10.73 ; 2.38 
19.01.2022 09:00;19.01.2022 10:45;19.01.2022;19.01.2022;9:00;10:45;1.75; 13.64 ; 7.80 
19.01.2022 12:00;19.01.2022 17:15;19.01.2022;19.01.2022;12:00;17:15;5.25; 10.31 ; 1.96 
19.01.2022 13:15;19.01.2022 22:30;19.01.2022;19.01.2022;13:15;22:30;9.25; 35.60 ; 3.85 
20.01.2022 08:00;20.01.2022 18:45;20.01.2022;20.01.2022;8:00;18:45;10.75; 53.58 ; 4.98 
20.01.2022 08:30;20.01.2022 18:30;20.01.2022;20.01.2022;8:30;18:30;10; 11.98 ; 1.20 
20.01.2022 08:30;20.01.2022 12:30;20.01.2022;20.01.2022;8:30;12:30;4; 10.16 ; 2.54 
20.01.2022 10:15;20.01.2022 18:15;20.01.2022;20.01.2022;10:15;18:15;8; 5.03 ; 0.63 
20.01.2022 12:30;20.01.2022 17:45;20.01.2022;20.01.2022;12:30;17:45;5.25; 7.13 ; 1.36 
21.01.2022 07:45;21.01.2022 17:15;21.01.2022;21.01.2022;7:45;17:15;9.5; 11.48 ; 1.21 
21.01.2022 08:15;21.01.2022 14:00;21.01.2022;21.01.2022;8:15;14:00;5.75; 9.53 ; 1.66 
21.01.2022 08:30;21.01.2022 10:15;21.01.2022;21.01.2022;8:30;10:15;1.75; 3.82 ; 2.18 
21.01.2022 11:45;21.01.2022 15:30;21.01.2022;21.01.2022;11:45;15:30;3.75; 9.84 ; 2.62 
22.01.2022 11:15;22.01.2022 12:00;22.01.2022;22.01.2022;11:15;12:00;0.75; 4.08 ; 5.44 
22.01.2022 16:30;22.01.2022 21:45;22.01.2022;22.01.2022;16:30;21:45;5.25; 50.80 ; 9.68 
23.01.2022 09:45;23.01.2022 10:45;23.01.2022;23.01.2022;9:45;10:45;1; 10.19 ; 10.19 
24.01.2022 14:45;24.01.2022 18:15;24.01.2022;24.01.2022;14:45;18:15;3.5; 8.89 ; 2.54 
24.01.2022 15:45;24.01.2022 18:00;24.01.2022;24.01.2022;15:45;18:00;2.25; 6.67 ; 2.96 
25.01.2022 08:00;25.01.2022 12:15;25.01.2022;25.01.2022;8:00;12:15;4.25; 7.64 ; 1.80 
25.01.2022 08:15;25.01.2022 14:45;25.01.2022;25.01.2022;8:15;14:45;6.5; 10.23 ; 1.57 
25.01.2022 09:00;25.01.2022 18:00;25.01.2022;25.01.2022;9:00;18:00;9; 13.03 ; 1.45 
25.01.2022 10:30;25.01.2022 19:15;25.01.2022;25.01.2022;10:30;19:15;8.75; 8.24 ; 0.94 
25.01.2022 12:45;26.01.2022 18:15;25.01.2022;26.01.2022;12:45;18:15;29.5; 5.31 ; 0.18 
25.01.2022 15:45;25.01.2022 18:15;25.01.2022;25.01.2022;15:45;18:15;2.5; 12.58 ; 5.03 
26.01.2022 08:00;26.01.2022 11:00;26.01.2022;26.01.2022;8:00;11:00;3; 4.76 ; 1.59 
26.01.2022 08:30;26.01.2022 22:15;26.01.2022;26.01.2022;8:30;22:15;13.75; 11.07 ; 0.81 
26.01.2022 08:30;26.01.2022 14:30;26.01.2022;26.01.2022;8:30;14:30;6; 13.29 ; 2.22 
26.01.2022 08:30;26.01.2022 11:15;26.01.2022;26.01.2022;8:30;11:15;2.75; 25.38 ; 9.23 
26.01.2022 10:00;26.01.2022 17:00;26.01.2022;26.01.2022;10:00;17:00;7; 4.76 ; 0.68 
27.01.2022 07:45;27.01.2022 17:45;27.01.2022;27.01.2022;7:45;17:45;10; 14.01 ; 1.40 
27.01.2022 08:00;27.01.2022 18:15;27.01.2022;27.01.2022;8:00;18:15;10.25; 12.03 ; 1.17 
27.01.2022 08:00;27.01.2022 09:00;27.01.2022;27.01.2022;8:00;9:00;1; 9.03 ; 9.03 
27.01.2022 08:00;27.01.2022 11:15;27.01.2022;27.01.2022;8:00;11:15;3.25; 8.24 ; 2.54 
27.01.2022 09:15;27.01.2022 16:30;27.01.2022;27.01.2022;9:15;16:30;7.25; 46.16 ; 6.37 
27.01.2022 09:45;27.01.2022 16:30;27.01.2022;27.01.2022;9:45;16:30;6.75; 5.14 ; 0.76 
27.01.2022 10:45;27.01.2022 15:30;27.01.2022;27.01.2022;10:45;15:30;4.75; 36.53 ; 7.69 
27.01.2022 11:00;27.01.2022 12:15;27.01.2022;27.01.2022;11:00;12:15;1.25; 1.59 ; 1.27 
27.01.2022 13:00;27.01.2022 16:45;27.01.2022;27.01.2022;13:00;16:45;3.75; 3.81 ; 1.02 
28.01.2022 07:45;28.01.2022 15:15;28.01.2022;28.01.2022;7:45;15:15;7.5; 13.34 ; 1.78 
28.01.2022 07:45;28.01.2022 15:30;28.01.2022;28.01.2022;7:45;15:30;7.75; 7.74 ; 1.00 
28.01.2022 08:15;28.01.2022 14:45;28.01.2022;28.01.2022;8:15;14:45;6.5; 8.53 ; 1.31 
28.01.2022 10:00;28.01.2022 15:15;28.01.2022;28.01.2022;10:00;15:15;5.25; 11.69 ; 2.23 
31.01.2022 07:45;31.01.2022 18:00;31.01.2022;31.01.2022;7:45;18:00;10.25; 10.26 ; 1.00 
31.01.2022 08:45;31.01.2022 18:15;31.01.2022;31.01.2022;8:45;18:15;9.5; 11.31 ; 1.19 
31.01.2022 09:00;31.01.2022 14:45;31.01.2022;31.01.2022;9:00;14:45;5.75; 13.47 ; 2.34 
31.01.2022 13:00;31.01.2022 18:15;31.01.2022;31.01.2022;13:00;18:15;5.25; 53.81 ; 10.25 
01.02.2022 07:45;01.02.2022 17:30;01.02.2022;01.02.2022;7:45;17:30;9.75; 13.24 ; 1.36 
01.02.2022 08:00;01.02.2022 19:15;01.02.2022;01.02.2022;8:00;19:15;11.25; 4.44 ; 0.39 
01.02.2022 10:45;01.02.2022 15:00;01.02.2022;01.02.2022;10:45;15:00;4.25; 9.77 ; 2.30 
02.02.2022 07:45;02.02.2022 09:00;02.02.2022;02.02.2022;7:45;9:00;1.25; 3.11 ; 2.49 
